title,author,price,rating,availability
ノルウェイの森,村上春樹,¥2,200,4.5,In Stock
1Q84 Book 1,村上春樹,¥1,980,4.7,In Stock
海辺のカフカ,村上春樹,¥2,400,4.6,In Stock
The Great Gatsby,F. Scott Fitzgerald,¥1,650,4.8,In Stock
To Kill a Mockingbird,Harper Lee,¥1,850,4.9,In Stock
1984,George Orwell,¥1,750,4.7,In Stock
Pride and Prejudice,Jane Austen,¥1,550,4.6,In Stock
人間失格,太宰治,¥1,320,4.3,In Stock
こころ,夏目漱石,¥1,430,4.4,In Stock
雪国,川端康成,¥1,680,4.5,Out of Stock
The Catcher in the Rye,J.D. Salinger,¥1,890,4.4,In Stock
君の名は。,新海誠,¥1,540,4.8,In Stock
容疑者Xの献身,東野圭吾,¥1,760,4.7,In Stock
白夜行,東野圭吵,¥2,090,4.6,In Stock
Sapiens: A Brief History of Humankind,Yuval Noah Harari,¥2,750,4.8,In Stock
Educated,Tara Westover,¥2,340,4.7,In Stock
火花,又吉直樹,¥1,540,4.2,In Stock
コンビニ人間,村田沙耶香,¥1,430,4.3,In Stock
The Alchemist,Paulo Coelho,¥1,650,4.5,In Stock
Animal Farm,George Orwell,¥1,320,4.6,Pre-order
Brave New World,Aldous Huxley,¥1,870,4.4,In Stock
羅生門,芥川龍之介,¥1,210,4.5,In Stock
Becoming,Michelle Obama,¥2,640,4.9,In Stock
The Midnight Library,Matt Haig,¥2,310,4.6,In Stock
蜘蛛の糸,芥川龍之介,¥990,4.3,In Stock
博士の愛した数式,小川洋子,¥1,650,4.5,Out of Stock
The Silent Patient,Alex Michaelides,¥2,090,4.7,In Stock
Where the Crawdads Sing,Delia Owens,¥2,420,4.8,Pre-order
銀河鉄道の夜,宮沢賢治,¥1,320,4.6,In Stock
蹴りたい背中,綿矢りさ,¥1,430,4.1,In Stock
