name,industry,employees,location,founded_year,revenue_million_yen
TechVision株式会社,Technology,450,Tokyo,2015,850
Global Finance Corp,Finance,1200,Osaka,2008,2400
Healthcare Innovations,Healthcare,680,Yokohama,2012,1200
Green Energy Solutions,Energy,320,Fukuoka,2018,450
Digital Marketing Pro,Marketing,150,Tokyo,2019,180
Manufacturing Excellence,Manufacturing,2500,Nagoya,1995,5600
Retail Connect,Retail,890,Sapporo,2010,980
EduTech Japan,Education,220,Kyoto,2016,320
Food Service Innovation,Food & Beverage,540,Tokyo,2013,720
Consulting Partners,Consulting,95,Osaka,2020,145
Transportation Systems,Transportation,1800,Tokyo,2005,3200
Real Estate Ventures,Real Estate,430,Yokohama,2014,890
Software Solutions Inc,Technology,275,Tokyo,2017,420
Banking & Finance,Finance,3200,Tokyo,1985,7800
Pharmaceutical Research,Healthcare,960,Osaka,2000,2100
